year,where_coordinates,latitude,longitude,geom_wkt,country,region,best
2018,Paveh village,35.043333000000004,46.356389,POINT (46.356389 35.043333),Iran,Middle East,3
2018,Muqur district (Ghazni),32.945127,67.783463,POINT (67.783463 32.945127),Afghanistan,Asia,1
2018,Sabari district,33.543516,69.9118,POINT (69.911800 33.543516),Afghanistan,Asia,2
2018,Baghlani Jadid district,36.324882,68.6234,POINT (68.623400 36.324882),Afghanistan,Asia,2
2018,Tijuana town,32.5027,-117.00371000000001,POINT (-117.003710 32.502700),Mexico,Americas,5
2018,Taourémba village,14.00405,-1.0995,POINT (-1.099500 14.004050),Burkina Faso,Africa,2
2018,Maywand district,31.5819,64.99308,POINT (64.993080 31.581900),Afghanistan,Asia,3
2018,Borana zone,4.883333,38.083333,POINT (38.083333 4.883333),Ethiopia,Africa,5
2018,Wagora Village,33.980612,74.89809,POINT (74.898090 33.980612),India,Asia,1
2018,Mogadishu city,2.066667,45.366667,POINT (45.366667 2.066667),Somalia,Africa,1
2018,Barikaw village,34.3098,70.7128,POINT (70.712800 34.309800),Afghanistan,Asia,3
2018,Angori village,32.967,67.5463,POINT (67.546300 32.967000),Afghanistan,Asia,3
2018,Arkalik village,35.628654,64.247612,POINT (64.247612 35.628654),Afghanistan,Asia,6
2018,Ab Kamari district,34.924849,62.903459,POINT (62.903459 34.924849),Afghanistan,Asia,3
2018,Mangali village,33.735,68.5286,POINT (68.528600 33.735000),Afghanistan,Asia,14
2018,Hpakant Township,25.679728,96.481155,POINT (96.481155 25.679728),Myanmar (Burma),Asia,1
2018,Tshikapa town,-6.4166669999999995,20.8,POINT (20.800000 -6.416667),DR Congo (Zaire),Africa,5
2018,Hpakant Township,25.679728,96.481155,POINT (96.481155 25.679728),Myanmar (Burma),Asia,1
2018,Salamanca municipality,20.58539,-101.17307,POINT (-101.173070 20.585390),Mexico,Americas,1
2018,Ab Band district,32.88363,68.06357,POINT (68.063570 32.883630),Afghanistan,Asia,7
2018,Sayid Nazim Salman Zai village,33.4346,68.6093,POINT (68.609300 33.434600),Afghanistan,Asia,14
2018,Qalat town,32.10368,66.905121,POINT (66.905121 32.103680),Afghanistan,Asia,7
2018,Alingar district,34.822451,70.418087,POINT (70.418087 34.822451),Afghanistan,Asia,6
2018,Jasiira village,1.950114,45.180923,POINT (45.180923 1.950114),Somalia,Africa,0
2018,Sbiba delegation,35.507496,9.152322999999999,POINT (9.152323 35.507496),Tunisia,Africa,1
2018,Tijuana town,32.5027,-117.00371000000001,POINT (-117.003710 32.502700),Mexico,Americas,1
2018,Mandela locality,-11.95,39.81389,POINT (39.813890 -11.950000),Mozambique,Africa,2
2018,Ciudad Juárez town,31.739444,-106.486944,POINT (-106.486944 31.739444),Mexico,Americas,1
2018,Gosfandi district,36.085626,66.517297,POINT (66.517297 36.085626),Afghanistan,Asia,1
2018,"LoC, Kupwara sector",34.344753000000004,73.750514,POINT (73.750514 34.344753),India,Asia,2
2018,Abyan governorate,13.786202,46.141765,POINT (46.141765 13.786202),Yemen (North Yemen),Middle East,0
2018,Arzo village,33.47016,68.48284,POINT (68.482840 33.470160),Afghanistan,Asia,2
2018,Milamba village,-11.818889,40.448333,POINT (40.448333 -11.818889),Mozambique,Africa,2
2018,Alizai village,33.351395000000004,68.38179000000001,POINT (68.381790 33.351395),Afghanistan,Asia,8
2018,Andar district,33.305842999999996,68.446963,POINT (68.446963 33.305843),Afghanistan,Asia,8
2018,Mamundioma locality,0.681276,29.590576000000002,POINT (29.590576 0.681276),DR Congo (Zaire),Africa,1
